crn,code,day,starts,ends
13576,KIM 101E,Pazartesi ,1130,1429 
10019,KIM 101E,Pazartesi ,1430,1729 
10021,KIM 101E,Pazartesi ,1430,1729 
10033,KIM 101E,Pazartesi ,1430,1729 
10023,KIM 101E,Salı ,0830,1129 
10026,KIM 101E,Salı ,0830,1129 
10030,KIM 101E,Salı ,0830,1129 
10029,KIM 101E,Çarşamba ,0830,1129 
10032,KIM 101E,Çarşamba ,0830,1129 
10035,KIM 101E,Perşembe ,1430,1729 
10037,KIM 101E,Perşembe ,1430,1729 
10039,KIM 101E,Cuma ,0830,1129 
10042,KIM 101EL,Pazartesi ,0930,1129 
10044,KIM 101EL,Pazartesi ,1130,1329 
10046,KIM 101EL,Pazartesi ,1130,1329 
10048,KIM 101EL,Pazartesi ,1130,1329 
10050,KIM 101EL,Pazartesi ,1330,1529 
10052,KIM 101EL,Pazartesi ,1330,1529 
10054,KIM 101EL,Pazartesi ,1530,1729 
10056,KIM 101EL,Pazartesi ,1530,1729 
10058,KIM 101EL,Salı ,0930,1129 
10060,KIM 101EL,Salı ,1130,1329 
10062,KIM 101EL,Salı ,1130,1329 
10064,KIM 101EL,Salı ,1130,1329 
10066,KIM 101EL,Salı ,1330,1529 
10068,KIM 101EL,Salı ,1330,1529 
10070,KIM 101EL,Salı ,1530,1729 
10072,KIM 101EL,Salı ,1530,1729 
10075,KIM 101EL,Çarşamba ,0830,1029 
13595,KIM 101EL,Perşembe ,0830,1029 
10078,KIM 101EL,Perşembe ,0930,1129 
13597,KIM 101EL,Perşembe ,1030,1229 
10081,KIM 101EL,Perşembe ,1130,1329 
10083,KIM 101EL,Perşembe ,1330,1529 
10084,KIM 101EL,Perşembe ,1530,1729 
10085,KIM 101EL,Cuma ,1430,1629 
10087,KIM 101EL,Cuma ,1430,1629 
10880,MAT 221,Perşembe ,1130,1429 
10893,MAT 242,Çarşamba Perşembe ,1330,1529 1230
10958,MAT 310,Perşembe ,1430,1729 
10965,MAT 337E,Salı Salı ,1330,1529 1530
10946,MAT 342E,Cuma ,0930,1229 
10990,MAT 368,Perşembe ,1430,1729 
11000,MAT 417E,Pazartesi ,1430,1729 
11004,MAT 420E,Salı ,1430,1729 
10370,FIZ 101E,Pazartesi ,1430,1729 
10732,FIZ 101E,Pazartesi ,1430,1729 
10372,FIZ 101E,Salı ,0830,1129 
10850,FIZ 101E,Salı ,0830,1129 
10336,FIZ 101E,Çarşamba ,0830,1129 
10813,FIZ 101E,Çarşamba ,0830,1129 
10814,FIZ 101E,Perşembe ,1430,1729 
10460,FIZ 101E,Cuma ,0830,1129 
10679,FIZ 101E,Cuma ,0830,1129 
10333,FIZ 101EL,Pazartesi ,0930,1129 
10503,FIZ 101EL,Pazartesi ,0930,1129 
10342,FIZ 101EL,Pazartesi ,1130,1329 
10565,FIZ 101EL,Pazartesi ,1130,1329 
10351,FIZ 101EL,Pazartesi ,1330,1529 
10462,FIZ 101EL,Pazartesi ,1330,1529 
10353,FIZ 101EL,Pazartesi ,1530,1729 
10725,FIZ 101EL,Pazartesi ,1530,1729 
10357,FIZ 101EL,Salı ,0930,1129 
10463,FIZ 101EL,Salı ,0930,1129 
10359,FIZ 101EL,Salı ,1130,1329 
10607,FIZ 101EL,Salı ,1130,1329 
13558,FIZ 101EL,Salı ,1130,1329 
10419,FIZ 101EL,Salı ,1330,1529 
10676,FIZ 101EL,Salı ,1330,1529 
10384,FIZ 101EL,Salı ,1530,1729 
10421,FIZ 101EL,Salı ,1530,1729 
13563,FIZ 101EL,Salı ,1530,1729 
10466,FIZ 101EL,Perşembe ,0930,1129 
10737,FIZ 101EL,Perşembe ,0930,1129 
10444,FIZ 101EL,Perşembe ,1130,1329 
10646,FIZ 101EL,Perşembe ,1130,1329 
10670,FIZ 101EL,Perşembe ,1330,1529 
11024,FIZ 101EL,Perşembe ,1330,1529 
10626,FIZ 101EL,Perşembe ,1530,1729 
10685,FIZ 101EL,Perşembe ,1530,1729 
10337,FIZ 101EL,Cuma ,0930,1129 
10538,FIZ 101EL,Cuma ,0930,1129 
10458,FIZ 101EL,Cuma ,1130,1329 
10545,FIZ 101EL,Cuma ,1130,1329 
10388,FIZ 101EL,Cuma ,1330,1529 
10429,FIZ 101EL,Cuma ,1330,1529 
10389,FIZ 101EL,Cuma ,1530,1729 
10430,FIZ 101EL,Cuma ,1530,1729 
15172,FIZ 449,Cuma ,0830,1129 
10926,MUH 321,Pazartesi Salı ,1030,1229 1530
11012,MUH 453,Cuma ,1430,1729 
10869,TUR 101,Pazartesi ,0830,1029 
10821,TUR 101,Pazartesi ,1030,1229 
10823,TUR 101,Pazartesi ,1330,1529 
10898,TUR 101,Pazartesi ,1330,1529 
10900,TUR 101,Pazartesi ,1530,1729 
10902,TUR 101,Salı ,0830,1029 
10882,TUR 101,Salı ,1030,1229 
10798,TUR 101,Salı ,1130,1329 
10857,TUR 101,Salı ,1130,1329 
10949,TUR 101,Salı ,1130,1329 
10802,TUR 101,Salı ,1330,1529 
10858,TUR 101,Salı ,1330,1529 
10950,TUR 101,Salı ,1330,1529 
10878,TUR 101,Çarşamba ,0830,1029 
13937,TUR 101,Çarşamba ,0830,1029 
10854,TUR 101,Çarşamba ,1030,1229 
10879,TUR 101,Çarşamba ,1030,1229 
10811,TUR 101,Çarşamba ,1330,1529 
10861,TUR 101,Çarşamba ,1330,1529 
10951,TUR 101,Perşembe ,0830,1029 
10816,TUR 101,Perşembe ,1030,1229 
10952,TUR 101,Perşembe ,1030,1229 
10818,TUR 101,Perşembe ,1330,1529 
10885,TUR 101,Perşembe ,1330,1529 
10790,TUR 101,Perşembe ,1530,1729 
10888,TUR 101,Perşembe ,1530,1729 
10953,TUR 101,Cuma ,0830,1029 
10954,TUR 101,Cuma ,1030,1229 
10890,TUR 101,Cuma ,1330,1529 
10795,TUR 101,Cuma ,1530,1729 
10896,TUR 102,Pazartesi ,1030,1229 
10907,TUR 102,Salı ,1330,1529 
10910,TUR 102,Salı ,1530,1729 
10913,TUR 102,Perşembe ,0830,1029 
10917,TUR 102,Perşembe ,1530,1729 
10948,TUR 102,Cuma ,1530,1729 
12582,DNK 201E,Pazartesi ,0930,1229 
12145,DNK 201E,Salı ,1430,1729 
12287,DNK 201E,Perşembe ,1330,1629 
10488,ING 101,Perşembe ,1330,1629 
10703,ING 102,Pazartesi ,1330,1629 
10705,ING 102,Çarşamba ,0830,1129 
10656,ING 103CO,Pazartesi ,1330,1629 
10659,ING 103CO,Perşembe ,0830,1129 
10694,ING 103ES,Çarşamba ,0830,1129 
10720,ING 103H,Cuma ,0830,1129 
10660,ING 103N,Salı ,0830,1129 
10662,ING 103N,Perşembe ,0830,1129 
10446,ING 201,Pazartesi ,0830,1129 
10554,ING 201,Pazartesi ,0830,1129 
10595,ING 201,Pazartesi ,0830,1129 
10730,ING 201,Pazartesi ,0830,1129 
14482,ING 201,Pazartesi ,0830,1129 
10541,ING 201,Pazartesi ,1330,1629 
10573,ING 201,Pazartesi ,1330,1629 
10583,ING 201,Pazartesi ,1330,1629 
10748,ING 201,Pazartesi ,1330,1629 
10846,ING 201,Pazartesi ,1330,1629 
10447,ING 201,Salı ,0830,1129 
10534,ING 201,Salı ,0830,1129 
10580,ING 201,Salı ,0830,1129 
10588,ING 201,Salı ,0830,1129 
